,web_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,ict_index_rank,chance_of_playing_next_round,position,club,elite_selected,change,ovr_selected
0,Özil,1,3,0.6,68,0,3323,0.0,0,601,0.0,Midfielder,Arsenal,,,
1,Sokratis,1,2,0.1,49,0,10217,0.0,0,561,0.0,Defender,Arsenal,,,
2,David Luiz,1,2,1.0,55,319,36033,1.3,7,284,100.0,Defender,Arsenal,,,
3,Aubameyang,1,3,12.4,117,806,454342,2.8,33,39,100.0,Midfielder,Arsenal,0.011000000000000001,-0.001,0.128
4,Cédric,1,2,0.2,47,0,3024,0.0,0,540,100.0,Defender,Arsenal,,,
5,Lacazette,1,4,3.1,83,485,266926,3.3,27,61,,Forward,Arsenal,,,
6,Mustafi,1,2,0.0,50,44,11026,0.4,2,395,100.0,Defender,Arsenal,,,
7,Leno,1,1,8.9,50,810,381183,7.6,38,160,,Goalkeeper,Arsenal,0.004,-0.001,0.08900000000000001
8,Xhaka,1,3,0.5,53,497,21641,2.5,13,245,,Midfielder,Arsenal,,,
9,Marí,1,2,0.0,44,0,303,0.0,0,482,25.0,Defender,Arsenal,,,
10,Bellerín,1,2,8.4,51,810,520983,8.4,43,93,,Defender,Arsenal,0.071,-0.001,0.083
11,Chambers,1,2,0.0,45,0,373,0.0,0,514,25.0,Defender,Arsenal,,,
12,Kolasinac,1,2,0.2,48,90,4726,0.4,2,394,0.0,Defender,Arsenal,,,
13,Maitland-Niles,1,2,1.0,47,188,47039,2.1,10,360,,Defender,Arsenal,,,
14,Holding,1,2,1.3,44,540,175216,4.8,21,254,100.0,Defender,Arsenal,0.004,-0.002,0.013000000000000001
15,Tierney,1,2,5.1,54,710,120713,4.8,26,111,100.0,Defender,Arsenal,0.001,-0.002,0.051
16,Pépé,1,3,0.8,76,277,22049,1.4,11,204,0.0,Midfielder,Arsenal,,,
17,Torreira,1,3,0.1,47,0,3279,0.0,0,543,0.0,Midfielder,Arsenal,,,
18,Willock,1,3,0.1,48,56,2676,0.2,1,405,,Midfielder,Arsenal,,,
19,Nelson,1,3,0.0,52,45,1059,0.2,1,408,100.0,Midfielder,Arsenal,,,
20,Nketiah,1,4,0.6,56,145,33117,2.7,15,236,,Forward,Arsenal,,,
21,Smith Rowe,1,3,0.2,44,0,13804,0.0,0,497,100.0,Midfielder,Arsenal,,,
22,Saka,1,3,2.7,53,543,111360,3.6,19,58,75.0,Midfielder,Arsenal,0.002,0.0,0.027999999999999997
23,Guendouzi,1,3,0.1,47,0,2603,0.0,0,544,0.0,Midfielder,Arsenal,,,
24,Martinelli,1,3,0.0,49,0,814,0.0,0,571,0.0,Midfielder,Arsenal,,,
25,Saliba,1,2,0.8,41,0,23771,0.0,0,454,,Defender,Arsenal,0.002,-0.001,0.008
26,Willian,1,3,4.5,77,556,746804,3.6,28,118,75.0,Midfielder,Arsenal,,,
27,Gabriel,1,2,11.3,51,720,887979,7.3,37,99,,Defender,Arsenal,0.002,0.002,0.113
28,Ceballos,1,3,1.2,49,527,119437,4.1,20,90,100.0,Midfielder,Arsenal,,,
29,Elneny,1,3,1.5,44,450,199113,2.7,12,256,0.0,Midfielder,Arsenal,,,
30,Macey,1,1,1.4,40,0,108965,0.0,0,437,,Goalkeeper,Arsenal,0.003,0.0,0.015
31,Rúnarsson,1,1,0.0,45,0,1283,0.0,0,516,,Goalkeeper,Arsenal,,,
32,Partey,1,3,0.8,50,232,103931,1.2,6,291,0.0,Midfielder,Arsenal,,,
33,Martínez,2,1,27.6,48,720,1834562,8.5,41,159,,Goalkeeper,Aston Villa,0.58,0.034,0.278
34,Heaton,2,1,0.0,45,0,1064,0.0,0,507,25.0,Goalkeeper,Aston Villa,,,
35,El Mohamady,2,2,0.3,43,33,7928,0.5,2,363,,Defender,Aston Villa,,,
36,Lansbury,2,3,0.1,44,0,4440,0.0,0,474,0.0,Midfielder,Aston Villa,,,
37,Taylor,2,2,0.2,43,0,9393,0.0,0,457,,Defender,Aston Villa,0.133,-0.023,0.03
38,Steer,2,1,5.4,40,0,186014,0.0,0,434,,Goalkeeper,Aston Villa,0.285,-0.052000000000000005,0.054000000000000006
39,Hourihane,2,3,0.2,60,152,22563,3.0,18,199,,Midfielder,Aston Villa,,,
40,Jota,2,3,0.0,59,0,1414,0.0,0,594,0.0,Midfielder,Aston Villa,0.069,0.05,0.11599999999999999
41,Nyland,2,1,8.1,40,0,143930,0.0,0,435,0.0,Goalkeeper,Aston Villa,0.078,-0.018000000000000002,0.081
42,Engels,2,2,0.1,44,0,10447,0.0,0,487,0.0,Defender,Aston Villa,,,
43,Grealish,2,3,40.5,76,720,2770763,8.0,61,4,,Midfielder,Aston Villa,0.8,0.231,0.40700000000000003
44,McGinn,2,3,2.3,55,720,251110,6.5,36,44,,Midfielder,Aston Villa,0.006999999999999999,0.0,0.023
45,Hause,2,2,0.0,44,0,733,0.0,0,490,100.0,Defender,Aston Villa,,,
