,full_name,squad,selected,position,team_code
0,Sergio_Agüero,Manchester City,1452447.0,4.0,1
1,Nathan_Aké,Bournemouth,158251.0,2.0,2
2,Marc_Albrighton,Leicester City,58166.0,3.0,3
3,Toby_Alderweireld,Tottenham,159975.0,2.0,4
4,Trent_Alexander-Arnold,Liverpool,787168.0,3.0,5
5,Alisson,Liverpool,629624.0,1.0,5
6,Dele_Alli,Tottenham,175864.0,3.0,4
7,Miguel_Almirón,Newcastle Utd,0.0,3.0,6
8,Marcos_Alonso,Chelsea,727837.0,2.0,7
9,Daniel_Amartey,Leicester City,11148.0,3.0,3
10,Luke_Amos,Tottenham,,,4
11,Felipe_Anderson,West Ham,183158.0,3.0,8
12,Florin_Andone,Brighton,4566.0,4.0,9
13,Michail_Antonio,West Ham,79349.0,3.0,8
14,Stuart_Armstrong,Southampton,13490.0,3.0,10
15,Marko_Arnautovic,West Ham,973948.0,3.0,8
16,Kepa_Arrizabalaga,Chelsea,120895.0,1.0,7
17,Harry_Arter,Cardiff City,14476.0,3.0,11
18,Christian_Atsu,Newcastle Utd,9385.0,3.0,6
19,Pierre-Emerick_Aubameyang,Arsenal,924935.0,4.0,12
20,Serge_Aurier,Tottenham,49004.0,2.0,4
21,Charlie_Austin,Southampton,85810.0,4.0,10
22,Jordan_Ayew,Crystal Palace,23777.0,4.0,13
23,Floyd_Ayité,Fulham,8882.0,3.0,14
24,César_Azpilicueta,Chelsea,745918.0,2.0,7
25,Ryan_Babel,Fulham,0.0,3.0,14
26,Juninho_Bacuna,Huddersfield,7863.0,3.0,15
27,Leandro_Bacuna,Cardiff City,0.0,2.0,11
28,Eric_Bailly,Manchester Utd,133757.0,2.0,16
29,Leighton_Baines,Everton,84579.0,2.0,17
30,Fabián_Balbuena,West Ham,16348.0,2.0,8
31,Leon_Balogun,Brighton,7897.0,2.0,9
32,Sol_Bamba,Cardiff City,39138.0,2.0,11
33,Phil_Bardsley,Burnley,10336.0,2.0,18
34,Ross_Barkley,Chelsea,22315.0,3.0,7
35,Ashley_Barnes,Burnley,48750.0,4.0,18
36,Harvey_Barnes,Leicester City,0.0,3.0,3
37,Antonio_Barreca,Newcastle Utd,0.0,2.0,6
38,Michy_Batshuayi,Crystal Palace,0.0,4.0,13
39,Jan_Bednarek,Southampton,264706.0,2.0,10
40,Asmir_Begovic,Bournemouth,220212.0,1.0,2
41,Héctor_Bellerín,Arsenal,727046.0,2.0,12
42,Joe_Bennett,Cardiff City,8863.0,2.0,11
43,Ryan_Bennett,Wolves,234162.0,2.0,19
44,Christian_Benteke,Crystal Palace,54689.0,4.0,13
