web_name,elite_selected,change,ovr_selected
Martínez,0.58,0.034,0.278
McCarthy,0.337,-0.035,0.2
Forster,0.318,0.073,0.037
Steer,0.285,-0.052,0.054
Button,0.129,0,0.047
Nyland,0.078,-0.018,0.081
Ryan,0.061,-0.007,0.135
Peacock-Farrell,0.053,0,0.014
Mendy,0.025,-0.002,0.066
Steele,0.023,0,0.008
Walton,0.02,-0.004,0.011
Guaita,0.018,0,0.04
Johnstone,0.015,0.001,0.01
Meslier,0.012,-0.001,0.04
Fabianski,0.01,0.007,0.03
Martin,0.009,0.002,0.074
Leno,0.004,-0.001,0.089
Norris,0.004,0.003,0.001
Pickford,0.003,0,0.07
Fabri,0.003,0,0.017
Macey,0.003,0,0.015
Ramsdale,0.002,-0.001,0.029
Miazek,0.002,-0.001,0.014
Caprile,0.002,0,0.003
Pope,0.001,0.001,0.106
Patrício,0.001,0,0.076
Lloris,0.001,0,0.053
Verrips,0.001,0.001,0.003
Chilwell,0.708,0.102,0.307
Mitchell,0.551,-0.061,0.2
Lamptey,0.514,0.028,0.13
Robertson,0.332,-0.029,0.169
Justin,0.324,-0.035,0.22
Coufal,0.24,0.092,0.021
Kilman,0.237,0.055,0.151
Walker-Peters,0.198,-0.031,0.119
Cancelo,0.198,0.189,0.027
James,0.166,0.006,0.125
Dallas,0.156,-0.01,0.058
Taylor,0.133,-0.023,0.03
Ayling,0.124,-0.024,0.039
Zouma,0.113,-0.003,0.183
Saïss,0.112,-0.072,0.166
Targett,0.11,0.068,0.028
Alexander-Arnold,0.071,-0.329,0.193
Bellerín,0.071,-0.001,0.083
Cresswell,0.062,0.016,0.093
Konsa,0.051,-0.006,0.078
Dunne,0.047,-0.002,0.066
Ferguson,0.043,-0.006,0.008
Semedo,0.039,-0.004,0.037
van Aanholt,0.036,0.013,0.008
Masuaku,0.029,0.007,0.019
Digne,0.026,0.008,0.131
Lewis,0.026,0.012,0.02
Telles,0.025,0.025,0.013
Dias,0.024,0.019,0.019
Reguilón,0.023,-0.007,0.043
Struijk,0.016,-0.002,0.023
Coady,0.015,-0.002,0.079
Branthwaite,0.015,-0.001,0.023
Bernardo,0.014,0.011,0.086
Balbuena,0.013,0.005,0.015
Neco Williams,0.012,0.012,0.038
