,first_name,second_name,id,full_names,selected,cost
0,Petr,Cech,1,Petr_Cech_1,70767,50
1,Bernd,Leno,2,Bernd_Leno_2,110646,50
2,Laurent,Koscielny,3,Laurent_Koscielny_3,6155,55
3,Héctor,Bellerín,4,Héctor_Bellerín_4,727046,55
4,Nacho,Monreal,5,Nacho_Monreal_5,44811,55
5,Rob,Holding,6,Rob_Holding_6,29752,45
6,Shkodran,Mustafi,7,Shkodran_Mustafi_7,66040,55
7,Sead,Kolasinac,8,Sead_Kolasinac_8,32166,50
8,Konstantinos,Mavropanos,10,Konstantinos_Mavropanos_10,10713,50
9,Stephan,Lichtsteiner,11,Stephan_Lichtsteiner_11,112156,50
10,Sokratis,Papastathopoulos,12,Sokratis_Papastathopoulos_12,122791,55
11,Mesut,Özil,13,Mesut_Özil_13,236460,85
12,Aaron,Ramsey,14,Aaron_Ramsey_14,60423,75
13,Alex,Iwobi,15,Alex_Iwobi_15,35746,55
14,Mohamed,Elneny,16,Mohamed_Elneny_16,120790,45
15,Granit,Xhaka,17,Granit_Xhaka_17,220405,55
16,Henrikh,Mkhitaryan,18,Henrikh_Mkhitaryan_18,644446,70
17,Reiss,Nelson,19,Reiss_Nelson_19,33287,45
18,Ainsley,Maitland-Niles,20,Ainsley_Maitland-Niles_20,31526,45
19,Danny,Welbeck,21,Danny_Welbeck_21,28663,65
20,Alexandre,Lacazette,22,Alexandre_Lacazette_22,200168,95
21,Pierre-Emerick,Aubameyang,23,Pierre-Emerick_Aubameyang_23,924935,110
22,Lucas,Torreira,450,Lucas_Torreira_450,90529,50
23,Matteo,Guendouzi,451,Matteo_Guendouzi_451,53733,45
24,Emiliano,Martínez,542,Emiliano_Martínez_542,0,0
25,Emile,Smith-Rowe,545,Emile_Smith-Rowe_545,0,0
26,Zech,Medley,546,Zech_Medley_546,0,0
27,Edward,Nketiah,552,Edward_Nketiah_552,0,0
28,Bukayo,Saka,563,Bukayo_Saka_563,0,0
29,Joseph,Willock,566,Joseph_Willock_566,0,0
30,Carl,Jenkinson,581,Carl_Jenkinson_581,0,0
31,Denis,Suárez,586,Denis_Suárez_586,0,0
32,Asmir,Begovic,24,Asmir_Begovic_24,220212,45
33,Artur,Boruc,25,Artur_Boruc_25,340702,40
34,Simon,Francis,26,Simon_Francis_26,22164,45
35,Steve,Cook,27,Steve_Cook_27,59682,45
36,Charlie,Daniels,28,Charlie_Daniels_28,834188,45
37,Adam,Smith,29,Adam_Smith_29,21187,45
38,Tyrone,Mings,30,Tyrone_Mings_30,10308,45
39,Nathan,Aké,31,Nathan_Aké_31,158251,50
40,Jack,Simpson,32,Jack_Simpson_32,257252,40
41,Marc,Pugh,34,Marc_Pugh_34,32012,45
42,Andrew,Surman,35,Andrew_Surman_35,17574,50
43,Junior,Stanislas,36,Junior_Stanislas_36,2359,60
44,Dan,Gosling,37,Dan_Gosling_37,5035,50
45,Jordon,Ibe,38,Jordon_Ibe_38,28714,55
46,Lewis,Cook,39,Lewis_Cook_39,16680,50
47,Ryan,Fraser,40,Ryan_Fraser_40,57385,55
48,Emerson,Hyndman,41,Emerson_Hyndman_41,3650,45
49,David,Brooks,42,David_Brooks_42,3963,50
50,Callum,Wilson,43,Callum_Wilson_43,147186,60
51,Lys,Mousset,44,Lys_Mousset_44,11984,50
52,Joshua,King,45,Joshua_King_45,380719,65
