,id,full_names,element_type,team,selected,cost
0,1,Petr_Cech_1,1,1,70767,50
1,2,Bernd_Leno_2,1,1,110646,50
2,3,Laurent_Koscielny_3,2,1,6155,55
3,4,Héctor_Bellerín_4,2,1,727046,55
4,5,Nacho_Monreal_5,2,1,44811,55
5,6,Rob_Holding_6,2,1,29752,45
6,7,Shkodran_Mustafi_7,2,1,66040,55
7,8,Sead_Kolasinac_8,2,1,32166,50
8,10,Konstantinos_Mavropanos_10,2,1,10713,50
9,11,Stephan_Lichtsteiner_11,2,1,112156,50
10,12,Sokratis_Papastathopoulos_12,2,1,122791,55
11,13,Mesut_Özil_13,3,1,236460,85
12,14,Aaron_Ramsey_14,3,1,60423,75
13,15,Alex_Iwobi_15,3,1,35746,55
14,16,Mohamed_Elneny_16,3,1,120790,45
15,17,Granit_Xhaka_17,3,1,220405,55
16,18,Henrikh_Mkhitaryan_18,3,1,644446,70
17,19,Reiss_Nelson_19,3,1,33287,45
18,20,Ainsley_Maitland-Niles_20,3,1,31526,45
19,21,Danny_Welbeck_21,4,1,28663,65
20,22,Alexandre_Lacazette_22,4,1,200168,95
21,23,Pierre-Emerick_Aubameyang_23,4,1,924935,110
22,450,Lucas_Torreira_450,3,1,90529,50
23,451,Matteo_Guendouzi_451,3,1,53733,45
24,542,Emiliano_Martínez_542,1,1,0,0
25,545,Emile_Smith-Rowe_545,3,1,0,0
26,546,Zech_Medley_546,2,1,0,0
27,552,Edward_Nketiah_552,4,1,0,0
28,563,Bukayo_Saka_563,3,1,0,0
29,566,Joseph_Willock_566,3,1,0,0
30,581,Carl_Jenkinson_581,2,1,0,0
31,586,Denis_Suárez_586,3,1,0,0
32,24,Asmir_Begovic_24,1,2,220212,45
33,25,Artur_Boruc_25,1,2,340702,40
34,26,Simon_Francis_26,2,2,22164,45
35,27,Steve_Cook_27,2,2,59682,45
36,28,Charlie_Daniels_28,2,2,834188,45
37,29,Adam_Smith_29,2,2,21187,45
38,30,Tyrone_Mings_30,2,2,10308,45
39,31,Nathan_Aké_31,2,2,158251,50
40,32,Jack_Simpson_32,2,2,257252,40
41,34,Marc_Pugh_34,3,2,32012,45
42,35,Andrew_Surman_35,3,2,17574,50
43,36,Junior_Stanislas_36,3,2,2359,60
44,37,Dan_Gosling_37,3,2,5035,50
45,38,Jordon_Ibe_38,3,2,28714,55
46,39,Lewis_Cook_39,3,2,16680,50
47,40,Ryan_Fraser_40,3,2,57385,55
48,41,Emerson_Hyndman_41,3,2,3650,45
49,42,David_Brooks_42,3,2,3963,50
50,43,Callum_Wilson_43,4,2,147186,60
51,44,Lys_Mousset_44,4,2,11984,50
52,45,Joshua_King_45,4,2,380719,65
53,46,Jermain_Defoe_46,4,2,42370,60
54,241,Nathaniel_Clyne_241,2,2,26690,50
55,259,Dominic_Solanke_259,4,2,17914,50
56,473,Diego_Rico_473,2,2,1514,45
57,494,Jefferson_Lerma_494,3,2,15473,45
58,580,Chris_Mepham_580,2,2,0,0
59,599,Sam_Surridge_599,4,2,0,0
60,600,Kyle_Taylor_600,3,2,0,0
61,613,Nnamdi_Ofoborh_613,3,2,0,0
62,616,Mark_Travers_616,1,2,0,0
63,620,Matt_Butcher_620,3,2,0,0
64,47,Mathew_Ryan_47,1,3,257273,45
65,48,Lewis_Dunk_48,2,3,152747,45
66,49,Shane_Duffy_49,2,3,153522,45
67,50,Bruno_Saltor Grau_50,2,3,14542,45
68,51,Gaëtan_Bong_51,2,3,8038,45
69,52,Markus_Suttner_52,2,3,413157,40
70,53,Ezequiel_Schelotto_53,2,3,118425,40
71,54,Leon_Balogun_54,2,3,7897,45
72,55,Anthony_Knockaert_55,3,3,23952,55
73,56,Dale_Stephens_56,3,3,549320,45
74,57,Beram_Kayal_57,3,3,5338,45
75,58,Solomon_March_58,3,3,3712,50
76,59,Pascal_Groß_59,3,3,364302,70
77,60,Davy_Pröpper_60,3,3,8887,50
78,61,José Heriberto_Izquierdo Mena_61,3,3,11081,60
79,62,Glenn_Murray_62,4,3,36707,65
80,63,Tomer_Hemed_63,4,3,11200,50
81,64,Sam_Baldock_64,4,3,21608,45
82,65,Jürgen_Locadia_65,4,3,5404,55
83,66,Florin_Andone_66,4,3,4566,50
84,179,David_Button_179,1,3,85325,40
85,439,Jason_Steele_439,1,3,68519,40
86,440,Bernardo_Fernandes da Silva Junior_440,2,3,10711,45
87,466,Yves_Bissouma_466,3,3,2595,50
88,476,Alireza_Jahanbakhsh_476,3,3,76058,70
89,503,Martín_Montoya_503,2,3,8245,45
90,551,Viktor_Gyokeres_551,4,3,0,0
91,559,Ben_White_559,2,3,0,0
92,572,Max_Sanders_572,3,3,0,0
93,582,Dan_Burn_582,2,3,0,0
94,617,Jayson_Molumby_617,3,3,0,0
95,67,Tom_Heaton_67,1,4,6229,50
96,68,Nick_Pope_68,1,4,23251,50
97,69,Matthew_Lowton_69,2,4,44551,50
98,70,Ben_Mee_70,2,4,226034,50
99,71,Stephen_Ward_71,2,4,120639,50
100,72,James_Tarkowski_72,2,4,461762,50
101,73,Kevin_Long_73,2,4,42014,45
102,74,Charlie_Taylor_74,2,4,11525,45
103,75,Phil_Bardsley_75,2,4,10336,45
104,76,Johann Berg_Gudmundsson_76,3,4,98144,60
105,77,Steven_Defour_77,3,4,757,55
106,78,Jeff_Hendrick_78,3,4,9008,55
107,79,Robbie_Brady_79,3,4,1913,55
108,80,Ashley_Westwood_80,3,4,9023,45
109,81,Jonathan_Walters_81,3,4,3473,50
110,82,Jack_Cork_82,3,4,59543,50
111,83,Aaron_Lennon_83,3,4,15138,50
112,84,Sam_Vokes_84,4,4,53452,55
113,85,Ashley_Barnes_85,4,4,48750,60
114,86,Nahki_Wells_86,4,4,101406,45
115,87,Chris_Wood_87,4,4,24309,65
116,485,Anders_Lindegaard_485,1,4,7630,45
117,490,Joe_Hart_490,1,4,195781,45
118,491,Ben_Gibson_491,2,4,17262,50
119,495,Matej_Vydra_495,4,4,7173,60
120,534,Dwight_McNeil_534,3,4,0,0
121,564,Abd-Al-Ali Morakinyo Olaposi_Koiki_564,2,4,0,0
122,583,Josh_Benson_583,3,4,0,0
123,590,Peter_Crouch_590,4,4,0,0
124,615,Anthony_Driscoll-Glennon_615,2,4,0,0
125,33,Harry_Arter_33,3,5,14476,50
126,88,Neil_Etheridge_88,1,5,12072,45
127,89,Alex_Smithies_89,1,5,6692,45
128,90,Sean_Morrison_90,2,5,31111,50
129,91,Sol_Bamba_91,2,5,39138,45
130,92,Bruno_Ecuele Manga_92,2,5,5192,45
131,93,Matthew_Connolly_93,2,5,75947,40
132,94,Joe_Bennett_94,2,5,8863,45
133,95,Lee_Peltier_95,2,5,196285,40
134,96,Ashley Darel Jazz_Richards_96,2,5,47860,40
135,97,Greg_Halford_97,2,5,1492,40
136,98,Joe_Ralls_98,3,5,17494,50
137,99,David Junior_Hoilett_99,3,5,20590,55
