,id,full_names,element_type,team,cost,selected
0,1,Shkodran_Mustafi_1,2,1,55,33117
1,2,Héctor_Bellerín_2,2,1,55,7979
2,3,Sead_Kolasinac_3,2,1,55,93903
3,4,Ainsley_Maitland-Niles_4,2,1,50,57131
4,5,Sokratis_Papastathopoulos_5,2,1,50,79581
5,6,Nacho_Monreal_6,2,1,50,56083
6,7,Laurent_Koscielny_7,2,1,50,16863
7,8,Konstantinos_Mavropanos_8,2,1,45,5323
8,9,Carl_Jenkinson_9,2,1,45,3502
9,10,Rob_Holding_10,2,1,45,6135
10,11,Pierre-Emerick_Aubameyang_11,4,1,110,1474313
11,12,Alexandre_Lacazette_12,4,1,95,193916
12,13,Edward_Nketiah_13,4,1,45,102737
13,14,Bernd_Leno_14,1,1,50,276322
14,15,Mesut_Özil_15,3,1,75,100612
15,16,Henrikh_Mkhitaryan_16,3,1,70,126595
16,18,Granit_Xhaka_18,3,1,55,83398
17,19,Lucas_Torreira_19,3,1,50,116243
18,20,Mohamed_Elneny_20,3,1,45,22214
19,21,Matteo_Guendouzi_21,3,1,45,257779
20,106,David_Luiz Moreira Marinho_106,2,1,60,514779
21,427,Emiliano_Martínez_427,1,1,45,16175
22,467,Calum_Chambers_467,2,1,45,39038
23,469,Daniel_Ceballos Fernández_469,3,1,55,208921
24,486,Cédric_Soares_486,2,1,50,18025
25,488,Nicolas_Pépé_488,3,1,95,283730
26,489,Reiss_Nelson_489,3,1,55,6922
27,490,Joseph_Willock_490,3,1,50,7466
28,504,Gabriel Teodoro_Martinelli Silva_504,4,1,45,46077
29,515,Kieran_Tierney_515,2,1,55,49998
30,541,Bukayo_Saka_541,3,1,0,0
31,576,Emile_Smith Rowe_576,3,1,0,0
32,585,Tyreece_John-Jules_585,4,1,0,0
33,617,Pablo_Marí_617,2,1,0,0
34,636,Zech_Medley_636,2,1,0,0
35,646,Matt_Macey_646,1,1,0,0
36,647,Matthew_Smith_647,2,1,0,0
37,22,Ahmed_El Mohamady_22,2,2,45,112887
38,23,James_Chester_23,2,2,45,8669
39,24,Neil_Taylor_24,2,2,45,12095
40,25,Kortney_Hause_25,2,2,45,4771
41,26,Jonathan_Kodjia_26,4,2,55,26144
42,27,Ørjan_Nyland_27,1,2,45,11690
43,28,Conor_Hourihane_28,3,2,60,15856
44,29,Jack_Grealish_29,3,2,60,345002
45,30,Anwar_El Ghazi_30,3,2,55,19086
46,31,John_McGinn_31,3,2,55,126685
47,32,Andre_Green_32,3,2,50,1639
48,33,Birkir_Bjarnason_33,3,2,45,9062
49,34,Keinan_Davis_34,3,2,45,18904
50,35,Henri_Lansbury_35,3,2,45,12198
51,36,José Ignacio_Peleteiro Romallo_36,3,2,60,16049
52,94,Tom_Heaton_94,1,2,45,368460
53,120,Daniel_Drinkwater_120,3,2,45,136850
54,309,Matt_Targett_309,2,2,45,75148
55,428,Wesley_Moraes_428,4,2,60,59003
56,429,Jed_Steer_429,1,2,45,8824
57,445,Tyrone_Mings_445,2,2,45,94735
58,452,Ezri_Konsa Ngoyo_452,2,2,45,4111
59,455,Bjorn_Engels_455,2,2,45,6280
60,458,Frédéric_Guilbert_458,2,2,45,32103
61,465,Mahmoud Ahmed_Ibrahim Hassan_465,3,2,55,149330
62,470,Douglas Luiz_Soares de Paulo_470,3,2,45,36123
63,474,Lovre_Kalinic_474,1,2,45,5785
64,491,Marvelous_Nakamba_491,3,2,45,12791
65,600,Indiana_Vassilev_600,3,2,0,0
66,603,José_Reina_603,1,2,0,0
67,613,Mbwana_Samatta_613,4,2,0,0
68,623,Borja_González Tomás_623,4,2,0,0
69,659,Kaine_Hayden_659,3,2,0,0
70,58,Steve_Cook_58,2,3,50,11475
71,59,Nathan_Aké_59,2,3,50,1076302
72,60,Charlie_Daniels_60,2,3,45,14037
73,61,Chris_Mepham_61,2,3,45,8741
74,62,Simon_Francis_62,2,3,45,646
75,63,Adam_Smith_63,2,3,45,90570
76,64,Lloyd_Kelly_64,2,3,45,6035
77,65,Diego_Rico_65,2,3,40,281145
78,66,Jack_Simpson_66,2,3,40,476670
79,67,Callum_Wilson_67,4,3,80,1093028
80,68,Joshua_King_68,4,3,65,1189451
81,69,Dominic_Solanke_69,4,3,55,31837
82,71,Sam_Surridge_71,4,3,45,54600
83,72,Asmir_Begovic_72,1,3,45,176267
84,73,Artur_Boruc_73,1,3,45,25338
85,74,Mark_Travers_74,1,3,45,16650
86,75,Ryan_Fraser_75,3,3,75,1114343
87,76,David_Brooks_76,3,3,65,23881
88,77,Junior_Stanislas_77,3,3,60,345
89,78,Jordon_Ibe_78,3,3,50,22253
90,79,Lewis_Cook_79,3,3,50,369
91,80,Andrew_Surman_80,3,3,50,3616
92,81,Dan_Gosling_81,3,3,50,1322
93,82,Jefferson_Lerma_82,3,3,50,12723
94,446,Jack_Stacey_446,2,3,45,8835
95,476,Philip_Billing_476,3,3,50,8568
96,492,Arnaut_Danjuma Groeneveld_492,3,3,60,4272
97,494,Aaron_Ramsdale_494,1,3,45,3091
98,505,Harry_Wilson_505,3,3,60,62133
99,564,Christian_Saydee_564,3,3,0,0
100,565,Gavin_Kilkenny_565,3,3,0,0
101,574,Mihai-Alexandru_Dobre_574,3,3,0,0
102,37,Shane_Duffy_37,2,4,50,165358
103,38,Martín_Montoya_38,2,4,45,33714
104,39,Bernardo_Fernandes da Silva Junior_39,2,4,45,9572
105,40,Leon_Balogun_40,2,4,45,5056
106,41,Gaëtan_Bong_41,2,4,45,9444
107,42,Lewis_Dunk_42,2,4,45,400846
108,43,Matthew_Clarke_43,2,4,45,1596
109,44,Glenn_Murray_44,4,4,60,209377
110,45,Jürgen_Locadia_45,4,4,55,19327
111,46,Florin_Andone_46,4,4,50,20055
112,47,Mathew_Ryan_47,1,4,45,709131
113,48,David_Button_48,1,4,40,1503984
114,49,Pascal_Groß_49,3,4,65,31960
115,50,Alireza_Jahanbakhsh_50,3,4,60,5564
116,51,José Heriberto_Izquierdo Mena_51,3,4,55,178
117,52,Anthony_Knockaert_52,3,4,55,1177
118,53,Yves_Bissouma_53,3,4,50,210
119,54,Davy_Pröpper_54,3,4,50,5703
120,55,Solomon_March_55,3,4,50,30111
121,56,Beram_Kayal_56,3,4,45,6689
122,57,Dale_Stephens_57,3,4,45,170109
123,421,Leandro_Trossard_421,3,4,60,44764
124,475,Dan_Burn_475,2,4,45,3535
125,493,Adam_Webster_493,2,4,45,5861
126,502,Neal_Maupay_502,4,4,60,19770
127,516,Aaron_Mooy_516,3,4,50,16261
128,534,Aaron_Connolly_534,4,4,0,0
129,536,Tudor_Baluta_536,2,4,0,0
130,537,Steven_Alzate_537,3,4,0,0
131,546,Ezequiel_Schelotto_546,2,4,0,0
132,586,Tariq_Lamptey_586,2,4,0,0
133,627,Alexis_Mac Allister_627,3,4,0,0
134,666,Alex_Cochrane_666,2,4,0,0
135,83,Ben_Mee_83,2,5,50,47250
136,84,James_Tarkowski_84,2,5,50,96554
137,85,Matthew_Lowton_85,2,5,45,16279
138,86,Phil_Bardsley_86,2,5,45,10554
139,87,Charlie_Taylor_87,2,5,45,91379
140,88,Kevin_Long_88,2,5,45,8088
141,89,Ben_Gibson_89,2,5,40,182745
142,90,Ashley_Barnes_90,4,5,65,43298
143,91,Chris_Wood_91,4,5,65,99872
144,92,Matej_Vydra_92,4,5,55,4450
145,93,Nick_Pope_93,1,5,45,344271
146,95,Joe_Hart_95,1,5,45,121823
147,96,Johann Berg_Gudmundsson_96,3,5,60,15688
148,97,Dwight_McNeil_97,3,5,60,23782
149,98,Robbie_Brady_98,3,5,55,1759
150,99,Steven_Defour_99,3,5,55,251
151,100,Jeff_Hendrick_100,3,5,55,5770
152,101,Ashley_Westwood_101,3,5,55,51159
153,102,Jack_Cork_102,3,5,50,16050
154,430,Aaron_Lennon_430,3,5,50,8105
155,447,Erik_Pieters_447,2,5,45,9332
156,451,Jay_Rodriguez_451,4,5,60,25916
157,495,Bailey_Peacock-Farrell_495,1,5,45,3785
158,571,Mace_Goodridge_571,3,5,0,0
159,572,Anthony_Driscoll-Glennon_572,2,5,0,0
160,596,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,2,5,0,0
161,620,Josh_Brownhill_620,3,5,0,0
162,638,Jimmy_Dunne_638,2,5,0,0
163,639,Bobby_Thomas_639,2,5,0,0
164,640,Max_Thompson_640,4,5,0,0
165,641,Lukas_Jensen_641,1,5,0,0
166,653,Josh_Benson_653,3,5,0,0
167,665,Joel_Mumbongo_665,4,5,0,0
168,103,Marcos_Alonso_103,2,6,65,267531
169,104,Antonio_Rüdiger_104,2,6,60,6039
170,105,César_Azpilicueta_105,2,6,60,471790
