full_name,squad
Patrick_van Aanholt ,Crystal Palace
Max_Aarons  ,Norwich City
Tammy_Abraham  ,Chelsea
Che_Adams  ,Southampton
Adrián,Liverpool
Sergio_Agüero  ,Manchester City
Albian_Ajeti  ,West Ham
Nathan_Aké  ,Bournemouth
Marc_Albrighton  ,Leicester City
Toby_Alderweireld  ,Tottenham
Trent_Alexander-Arnold  ,Liverpool
Alisson,Liverpool
Dele_Alli  ,Tottenham
Miguel_Almirón  ,Newcastle Utd
Marcos_Alonso  ,Chelsea
Steven_Alzate  ,Brighton
Ibrahim_Amadou  ,Norwich City
Felipe_Anderson  ,West Ham
Florin_Andone  ,Brighton
Angeliño,Manchester City
Faustino_Anjorin  ,Chelsea
Michail_Antonio  ,West Ham
Stuart_Armstrong  ,Southampton
Kepa_Arrizabalaga  ,Chelsea
Christian_Atsu  ,Newcastle Utd
Pierre-Emerick_Aubameyang  ,Arsenal
Serge_Aurier  ,Tottenham
Jordan_Ayew  ,Crystal Palace
César_Azpilicueta  ,Chelsea
Eric_Bailly  ,Manchester Utd
Leighton_Baines  ,Everton
Fabián_Balbuena  ,West Ham
George_Baldock  ,Sheffield Utd
Phil_Bardsley  ,Burnley
Ross_Barkley  ,Chelsea
Ashley_Barnes  ,Burnley
Harvey_Barnes  ,Leicester City
Chris_Basham  ,Sheffield Utd
Borja_Bastón  ,Aston Villa
Michy_Batshuayi  ,Chelsea
Jan_Bednarek  ,Southampton
Héctor_Bellerín  ,Arsenal
Ryan_Bennett  ,Wolves
Ryan_Bennett  ,Leicester City
Nabil_Bentaleb  ,Newcastle Utd
Christian_Benteke  ,Crystal Palace
Jóhann_Berg Guðmundsson ,Burnley
Sander_Berge  ,Sheffield Utd
Steven_Bergwijn  ,Tottenham
Bernard,Everton
Bernardo,Brighton
Ryan_Bertrand  ,Southampton
Muhamed_Bešić  ,Sheffield Utd
Philip_Billing  ,Bournemouth
Yves_Bissouma  ,Brighton
Willy_Boly  ,Wolves
Gaëtan_Bong  ,Brighton
Sofiane_Boufal  ,Southampton
Jarrod_Bowen  ,West Ham
Robbie_Brady  ,Burnley
Jarrad_Branthwaite  ,Everton
Claudio_Bravo  ,Manchester City
Armando_Broja  ,Chelsea
David_Brooks  ,Bournemouth
Josh_Brownhill  ,Burnley
Emi_Buendía  ,Norwich City
Dan_Burn  ,Brighton
Sam_Byram  ,Norwich City
Willy_Caballero  ,Chelsea
Gary_Cahill  ,Crystal Palace
Dominic_Calvert-Lewin  ,Everton
Víctor_Camarasa  ,Crystal Palace
João_Cancelo  ,Manchester City
Todd_Cantwell  ,Norwich City
Étienne_Capoue  ,Watford
Andy_Carroll  ,Newcastle Utd
Jonny_Castro  ,Wolves
Craig_Cathcart  ,Watford
Dani_Ceballos  ,Arsenal
Nathaniel_Chalobah  ,Watford
Calum_Chambers  ,Arsenal
Ben_Chilwell  ,Leicester City
Tahith_Chong  ,Manchester Utd
Hamza_Choudhury  ,Leicester City
Andreas_Christensen  ,Chelsea
Ciaran_Clark  ,Newcastle Utd
Leon_Clarke  ,Sheffield Utd
Tom_Cleverley  ,Watford
Conor_Coady  ,Wolves
Séamus_Coleman  ,Everton
Aaron_Connolly  ,Brighton
Lewis_Cook  ,Bournemouth
Steve_Cook  ,Bournemouth
Jack_Cork  ,Burnley
Aaron_Cresswell  ,West Ham
Patrick_Cutrone  ,Wolves
Diogo_Dalot  ,Manchester Utd
Charlie_Daniels  ,Bournemouth
Scott_Dann  ,Crystal Palace
Kevin_Danso  ,Southampton
Ben_Davies  ,Tottenham
Tom_Davies  ,Everton
Keinan_Davis  ,Aston Villa
Craig_Dawson  ,Watford
Kevin_De Bruyne ,Manchester City
Troy_Deeney  ,Watford
Fabian_Delph  ,Everton
Leander_Dendoncker  ,Wolves
Gerard_Deulofeu  ,Watford
